Record Date,Series Code,Series Description,Bonds Issued Count,Redeemed Bonds Count,Bonds Outstanding Count,Matured Bonds Count,Unmatured Bonds Count,Matured Redeemed Bonds Count,Matured Unredeemed Bonds Count,Unmatured Redeemed Bonds Count,Unmatured Unredeemed Bonds Count,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2019-04-30","I","Series I","178580612","146593064","31987548","0","178580612","0","0","146593064","31987548","9","2019","3","2019","2","04","30"
"2019-04-30","J","Series J","793354","791573","1781","793354","0","791573","1781","0","0","10","2019","3","2019","2","04","30"
"2019-04-30","K","Series K","936780","936650","130","936780","0","936650","130","0","0","11","2019","3","2019","2","04","30"
"2019-04-30","R","Series R","562439","552200","10239","0","562439","0","0","552200","10239","12","2019","3","2019","2","04","30"
"2019-04-30","P","Series P","194335","191133","3202","0","194335","0","0","191133","3202","13","2019","3","2019","2","04","30"
"2019-04-30","null","All Series","6860255103","6459122702","401132401","5466417148","1393837955","5397592833","68824315","1061529869","332308086","14","2019","3","2019","2","04","30"
"2019-03-31","E","Series E","4599418693","4574720851","24697842","4599418693","0","4574720851","24697842","0","0","1","2019","2","2019","1","03","31"
"2019-03-31","EE","Series EE","1976146226","1632386920","343759306","757871104","1218275122","714742964","43128140","917643956","300631166","2","2019","2","2019","1","03","31"
"2019-03-31","SN","Savings Notes","30850113","30687714","162399","30850113","0","30687714","162399","0","0","3","2019","2","2019","1","03","31"
"2019-03-31","H","Series H","16386525","16354673","31852","16386525","0","16354673","31852","0","0","4","2019","2","2019","1","03","31"
"2019-03-31","HH","Series HH","14941798","12756422","2185376","10292058","4649740","9958250","333808","2798172","1851568","5","2019","2","2019","1","03","31"
"2019-03-31","A-D","Series A-D","18559885","18551993","7892","18559885","0","18551993","7892","0","0","6","2019","2","2019","1","03","31"
"2019-03-31","F","Series F","5624339","5615221","9118","5624339","0","5615221","9118","0","0","7","2019","2","2019","1","03","31"
"2019-03-31","G","Series G","17260002","17254409","5593","17260002","0","17254409","5593","0","0","8","2019","2","2019","1","03","31"
"2019-03-31","I","Series I","178545306","146470990","32074316","0","178545306","0","0","146470990","32074316","9","2019","2","2019","1","03","31"
